HabCode,HabType
0,Ocean
1,BroadWood
2,ConifWood
3,Arable
4,ImpGrass
5,RoughGrass
6,NeutGrass
7,CalcGrass
8,AcidGrass
9,Marsh
10,Heath
11,HeathGrass
12,Bog
13,Montane
14,InlandRock
15,Saltwater
16,Freshwater
17,SupRock
18,SupSed
19,LitRock
20,LitSed
21,Saltmarsh
22,Urban
23,Suburb
